epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,8645.52,0.74122,0.48268,0.85791,0.95161,0.90179,0.95939,0.80014,0.68324,0.38807,0.84445,4.46488e-05,4.46488e-05,4.46488e-05
41,8858.7,0.70373,0.42112,0.85598,0.94787,0.9148,0.96189,0.79618,0.68532,0.38929,0.84517,4.0768e-05,4.0768e-05,4.0768e-05
42,9065.92,0.67973,0.40509,0.84998,0.95326,0.9064,0.96017,0.8044,0.68192,0.38491,0.84338,3.68872e-05,3.68872e-05,3.68872e-05
43,9277.08,0.67189,0.39987,0.84698,0.96152,0.91093,0.96218,0.80557,0.67255,0.37809,0.84166,3.30064e-05,3.30064e-05,3.30064e-05
44,9486.16,0.66572,0.39708,0.84682,0.95683,0.91622,0.9613,0.8084,0.6726,0.37786,0.84103,2.91256e-05,2.91256e-05,2.91256e-05
45,9691.66,0.66021,0.38957,0.84519,0.96229,0.91537,0.96209,0.81442,0.66243,0.37242,0.83929,2.52448e-05,2.52448e-05,2.52448e-05
46,9897.51,0.65017,0.38789,0.84381,0.95023,0.91808,0.96199,0.81404,0.65894,0.37108,0.83854,2.1364e-05,2.1364e-05,2.1364e-05
47,10102.1,0.6473,0.38127,0.84325,0.95379,0.91788,0.96217,0.81061,0.65778,0.36971,0.83847,1.74832e-05,1.74832e-05,1.74832e-05
48,10309,0.64236,0.37858,0.84219,0.95607,0.91362,0.96237,0.81824,0.65341,0.36741,0.83718,1.36024e-05,1.36024e-05,1.36024e-05
49,10515.3,0.6352,0.37318,0.83955,0.94512,0.92212,0.96152,0.81911,0.65038,0.3658,0.83647,9.7216e-06,9.7216e-06,9.7216e-06
50,10722.3,0.63434,0.37286,0.8386,0.95338,0.91535,0.962,0.8177,0.65364,0.36454,0.83697,5.8408e-06,5.8408e-06,5.8408e-06
